SMILES	Hansch pi	Hammett sigma p
[R]C	00001	0.76	-0.134
[R]O	00002	-0.045	-0.223
[R]F	00003	0.379	0.064
[R]c1ccccc1	00004	1.977	-0.028
[R]OC	00005	-0.013	-0.251
[R]Cl	00006	0.758	0.168
[R]N	00007	-0.738	-0.607
[R]CC	00008	1.157	-0.133
[R]C(O)=O	00009	-0.009	0.535
[R]C(F)(F)F	00010	1.176	0.459
[R]C(C)C	00011	1.487	-0.134
[R]Cc1ccccc1	00012	2.374	-0.112
[R]C#N	00013	0.329	0.402
[R]C(N)=O	00014	-0.873	0.394
[R]c1ccc(Cl)cc1	00015	2.495	0.051
[R]c1ccc(F)cc1	00016	2.117	0.029
[R]C(C)=O	00017	0.539	0.464
[R]Br	00018	1.032	0.241
[R]OCC	00019	0.33	-0.269
[R]C(C)(C)C	00020	1.92	-0.15
[R]CO	00021	-0.242	-0.06
[R]c1ccc(OC)cc1	00022	1.725	-0.076
[R]C1CC1	00023	0.983	-0.107
[R]N(C)C	00024	0.032	-0.653
[R]CC(C)C	00025	1.883	-0.136
[R]N1CCOCC1	00026	-0.311	-0.615
[R]N(=O)=O	00027	0.165	0.864
[R]CC(O)=O	00028	-0.076	-0.009
[R]CCC	00029	1.553	-0.131
[R]c1ccc(C)cc1	00030	2.445	-0.047
[R]C(=O)OC	00031	0.023	0.504
[R]C1CCCCC1	00032	2.172	-0.131
[R]C(=O)OCC	00033	0.366	0.494
[R]NC(C)=O	00034	-0.911	-0.291
[R]c1cccnc1	00035	0.666	0.07
[R]c1ccc(O)cc1	00036	1.693	-0.006
[R]NC	00037	-0.33	-0.623
[R]c1ccccn1	00038	1.065	0.146
[R]CCCC	00039	1.949	-0.131
[R]c1ccco1	00040	0.461	0.1
[R]C(N)=N	00041	-0.702	0.25
[R]c1cccs1	00042	1.449	0.021
[R]c1ccncc1	00043	0.666	0.117
[R]c1ccccc1Cl	00044	2.495	0.01
[R]c1c[nH]c2ccccc12	00045	1.286	-0.22
[R]c1cccc(Cl)c1	00046	2.495	0.051
[R]c1ccccc1OC	00047	1.725	-0.147
[R]N1CCCC1	00048	0.357	-0.667
[R]S	00049	0.196	0.03
[R]N1CCCCC1	00050	0.754	-0.679
[R]CCC(O)=O	00051	0.32	-0.011
[R]NO	00052	-0.09	-0.582
[R]C(=O)NO	00053	-0.387	0.469
[R]C(=O)c1ccccc1	00054	1.514	0.456
[R]c1cccc(OC)c1	00055	1.725	-0.008
[R]CCc1ccccc1	00056	2.77	-0.101
[R]OCc1ccccc1	00057	1.764	-0.253
[R]N1CCN(C)CC1	00058	-0.167	-0.669
[R]S(N)(=O)=O	00059	-0.907	0.666
[R]c1ccccc1F	00060	2.117	-0.001
[R]Cc1ccc(O)cc1	00061	2.089	-0.088
[R]Oc1ccccc1	00062	1.669	-0.091
[R]C1CCCC1	00063	1.776	-0.131
[R]Cc1c[nH]c2ccccc12	00064	1.682	-0.188
[R]S(C)(=O)=O	00065	-0.615	0.6
[R]NC(N)=N	00066	-1.011	-0.226
[R]SC	00067	0.33	-0.031
[R]c1cccc(F)c1	00068	2.117	0.06
